,Earnings,Earnings,Earnings,Earnings,Earnings,Players,Players,Players,Players,Players,Tournaments,Tournaments,Tournaments,Tournaments,Tournaments
,sum,mean,median,min,max,sum,mean,median,min,max,sum,mean,median,min,max
Brawlhalla,1153494.09,20598.108750000003,6403.469999999999,15.6,122000.0,2305,41.160714285714285,42.0,2,107,390,6.964285714285714,5.0,1,22
Breakers Revenge,16.0,16.0,16.0,16.0,16.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Call of Duty,50629.77,25314.885,25314.885,629.77,50000.0,51,25.5,25.5,0,51,2,1.0,1.0,1,1
Call of Duty 2,66828.51000000001,4773.465000000001,2292.1949999999997,619.88,20000.0,41,2.9285714285714284,0.0,0,20,16,1.1428571428571428,1.0,1,2
Call of Duty 4: Modern Warfare,420331.47,9552.987954545453,3421.63,534.8,74041.67,769,17.477272727272727,11.5,0,70,81,1.8409090909090908,1.0,1,6
Call of Duty: Advanced Warfare,2608808.93,200677.61000000002,129276.62,1306.13,1048225.17,2024,155.69230769230768,160.0,21,298,404,31.076923076923077,30.0,3,53
Call of Duty: Black Ops,376793.48,37679.348,35331.25,240.0,142000.0,282,28.2,32.0,0,49,24,2.4,2.5,1,6
Call of Duty: Black Ops 2,1467139.25,104795.66071428571,23539.545,2584.64,1010000.0,441,31.5,31.0,4,80,52,3.7142857142857144,3.5,1,9
Call of Duty: Black Ops 4,6704438.95,558703.2458333333,160834.0,0.0,2999500.0,1005,83.75,76.5,0,180,67,5.583333333333333,5.0,1,15
Call of Duty: Black Ops III,3939783.29,303060.2530769231,106940.2,7516.92,2008322.22,1159,89.15384615384616,85.0,24,165,78,6.0,6.0,1,14
Call of Duty: Blackout,611608.35,55600.75909090909,30000.0,5000.0,275000.0,244,22.181818181818183,18.0,4,71,18,1.6363636363636365,1.0,1,4
Call of Duty: Ghosts,1594185.25,113870.375,33229.130000000005,1960.0,1030131.5,493,35.214285714285715,32.0,0,71,76,5.428571428571429,6.5,1,10
Call of Duty: Infinite Warfare,4156205.06,377836.82363636367,237200.0,368.55,1525400.0,961,87.36363636363636,86.0,4,145,80,7.2727272727272725,9.0,1,17
Call of Duty: Modern Warfare,6592284.5,549357.0416666666,211361.0,10000.0,4600000.0,587,48.916666666666664,48.0,6,106,44,3.6666666666666665,4.0,1,7
Call of Duty: Modern Warfare 2,112860.64,8681.587692307692,5750.0,250.0,28750.0,96,7.384615384615385,5.0,0,16,18,1.3846153846153846,1.0,1,3
Call of Duty: Modern Warfare 3,1160815.66,96734.63833333332,14274.645,3920.0,1000000.0,375,31.25,28.0,1,76,45,3.75,3.5,1,7
Call of Duty: Warzone,1836488.96,262355.5657142857,271263.3,125500.0,377775.59,831,118.71428571428571,76.0,63,202,74,10.571428571428571,11.0,7,12
Call of Duty: World War II,4559271.0,379939.25,207118.38,3898.1,1500000.0,642,53.5,50.5,8,128,64,5.333333333333333,5.5,1,14
Capcom vs. SNK,140.0,70.0,70.0,0.0,140.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Capcom vs. SNK 2,24186.79,1422.7523529411765,150.0,0.0,10250.0,66,3.8823529411764706,3.0,3,8,17,1.0,1.0,1,1
Carom 3D,60500.0,15125.0,14750.0,11000.0,20000.0,12,3.0,3.0,3,3,4,1.0,1.0,1,1
Catherine,1545.0,220.71428571428572,230.0,75.0,340.0,21,3.0,3.0,3,3,7,1.0,1.0,1,1
Catherine: Full Body,185.0,185.0,185.0,185.0,185.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Chaos Code: New Sign of Catastrophe,140.0,140.0,140.0,140.0,140.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Chess.com,878990.96,12738.999420289854,1995.0,999.99,215230.69,1300,18.840579710144926,11.0,5,180,161,2.3333333333333335,2.0,1,14
Clash Royale,3319748.27,118562.43821428572,102375.13500000001,0.0,416450.84,567,20.25,20.0,2,58,50,1.7857142857142858,1.0,1,7
Clash of Clans,766546.87,127757.81166666666,7038.4349999999995,1140.0,700000.0,95,15.833333333333334,5.0,2,40,6,1.0,1.0,1,1
ComPet,2000.0,2000.0,2000.0,2000.0,2000.0,50,50.0,50.0,50,50,1,1.0,1.0,1,1
Command & Conquer 3,53086.67,13271.6675,14092.705,4901.26,20000.0,14,3.5,3.5,3,4,5,1.25,1.0,1,2
Company of Heroes 2,8561.22,2140.305,1930.61,300.0,4400.0,19,4.75,5.0,1,8,6,1.5,1.0,1,3
Counter-Strike,13494839.57,96391.71121428572,73612.95999999999,1035.0,539579.04,16247,116.05,109.0,5,308,996,7.114285714285714,7.0,1,17
